"","Timestamp","DOI","TypeOfArticle","OnlineMaterials","OnlineDataProvided","OnlineDataURL1","OnlineDataDOI1","X8","OnlineDataHandle1","OnlineDataInside","OnlineMaterials1","OnlineMaterials1_DOI","OnlinePrograms","OnlineProgramsInside","OnlineProgramsDOI","OnlineProgramsHDL","OnlineProgramsURL","DocReadmePresent","DocReadmeContent","DataAvailability","DataAvailabilityAccess","DataAvailabilityExclusive","DataRunClean","DataRunFinal","DataRunIntermediate","InputDataFormat1","OnlineDataFormat2","ProgramFormat","ProgramSequence","ProgramsDocumentation","ProgramsHeaderAuthor","ProgramsHeaderInfo","ProgramsStructureManual","NetID","GeneralNotes","How difficult do you think replicating the article will be","OnlineProgramsDOI_1","OnlineDataFormat1","DataSetClassification1","DataSetClassification2","OnlineDataDOI2","OnlineDataURL2","OnlineDataHandle2","flag2011"
"1","6/11/2014 3:09:33","10.1257/app.1.2.64","Yes","No","Yes","http://www.aeaweb.org/aej/app/data/2007-0098_data.zip",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,"Yes","provides instructions for replication","No","No","Yes","Yes","Yes","Yes","Stata","Stata","Stata","Yes",NA,NA,NA,"No","si75",NA,1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2007-0098_data.zip",NA,1
"2","6/18/2014 15:19:16","10.1257/app.5.2.29","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2012-0049_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0049_data.zip",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0049_data.zip","Yes","provides instructions for replication","Yes","No","No","Yes","Yes","Yes","Stata","Stata","Stata","Yes","Yes","No","Yes","No","sl2296","Some of the do files without meta data.",1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0049_data.zip",NA,1
"3","6/19/2014 1:09:43","10.1257/app.5.3.1","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2012-0191_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2012-0191_app.pdf",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0191_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","DK","DK","DK","Yes","Yes","Yes","Stata","Stata","Stata","Yes","Yes","No","No","No","si75",NA,1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0191_data.zip",NA,1
"4","6/19/2014 1:30:02","10.1257/app.5.3.27","Yes","No","Yes","http://www.aeaweb.org/aej/app/data/2012-0252_data.zip",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0252_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","Yes","No","No","No","Yes","No","Stata","Stata","Stata","Yes","Yes","No","No","No","si75",NA,1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0252_data.zip",NA,1
"5","6/19/2014 1:37:30","10.1257/app.5.3.41","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2012-0175_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2012-0175_app.pdf",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0175_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","Yes","No","No","No","Yes","No","Stata","Stata","Stata","Yes","Yes","No","No","No","si75",NA,1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0175_data.zip",NA,1
"6","6/21/2014 5:25:56","10.1257/app.5.3.91","Yes","No","Yes","http://www.aeaweb.org/aej/app/data/2012-0250_data.zip",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0250_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","Yes","Yes","No","Yes","Yes","Yes","Stata","Stata","Stata","Yes","Yes","No","No","No","si75",NA,1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0250_data.zip",NA,1
"7","6/22/2014 19:26:55","10.1257/app.5.2.86","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2012-0141_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0141_data.zip",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0141_data.zip","Yes","lists all included files, documents the purpose of each file, provides instructions for replication","Yes","No","No","No","Yes","Yes","Unclear","Stata","Stata","Yes","Yes","Yes","Yes","No","sl2296","Includes data used for producing the final results. Complete CHARLS data set available at http:charls.ccer.edu.cn, which was not available at the point of article submission.",1,NA,"Unclear","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0141_data.zip",NA,1
"8","6/22/2014 19:30:13","10.1257/app.5.2.122","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2012-0117_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0117_data.zip",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0117_data.zip","Yes","lists all included files, documents the purpose of each file","Yes","No","No","Yes","Yes","Yes","Stata","Stata","Stata","Yes","Yes","No","No","No","sl2296",NA,1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0117_data.zip",NA,1
"9","6/22/2014 19:44:12","10.1257/app.5.2.151","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2011-0209_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2011-0209_data.zip",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2011-0209_data.zip","Yes","lists all included files, documents the purpose of each file, provides instructions for replication","Yes","No","No","Yes","Yes","Yes","Stata","Stata","Stata","Yes","Yes","No","No","No","sl2296",NA,1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2011-0209_data.zip",NA,1
"10","6/22/2014 20:11:44","10.1257/app.5.2.232","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2011-0367_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2011-0367_data.zip",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2011-0367_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","Yes","No","No","No","Yes","Yes","Stata","Stata","Stata","Yes","Yes","Yes","Yes","Yes","sl2296","Adjusting root directory of the do file needed before running the program. Additional pdf file with more detailed source of data available at http://www.aeaweb.org/aej/app/app/2011-0367_app.pdf",1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2011-0367_data.zip",NA,1
"11","6/18/2014 15:23:41","10.1257/app.5.2.58","Yes","Yes","Yes","http://www.measuredhs.com",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2010-0301_data.zip",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2010-0301_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file","Yes","No","No","Yes","Yes","Yes","Stata","Stata","Stata","Yes","Yes","No","No","No","sl2296",NA,2,NA,"Stata","Input Data","Analysis Data",NA,"http://www.measuredhs.com",NA,1
"12","6/21/2014 5:34:59","10.1257/app.5.3.113","Yes","No","Yes","http://www.aeaweb.org/aej/app/data/2012-0207_data.zip",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0207_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","Yes","No","No","Yes","Yes","Yes","Stata","Stata","Stata","Yes","Yes","Yes","Yes","No","si75","Data is publicly accessible through the article, but as it is information gathered by a survey, the data is unable anywhere else.",2,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0207_data.zip",NA,1
"13","6/22/2014 0:36:42","10.1257/app.5.3.189","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2012-0247_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2012-0247_app.pdf",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0247_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","Yes","No","No","Yes","Yes","Yes","Stata","Stata","Stata","Yes",NA,NA,NA,"No","si75",NA,2,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0247_data.zip",NA,1
"14","6/22/2014 1:11:30","10.1257/app.5.4.206","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2012-0255_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2012-0255_app.pdf",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0255_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","Yes","No","No","Yes","Yes","Yes","Stata","Stata","Stata","Yes",NA,NA,NA,"No","si75",NA,2,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0255_data.zip",NA,1
"15","6/22/2014 1:16:06","10.1257/app.5.4.241","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2011-0167_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2011-0167_app.pdf",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2011-0167_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","Yes","No","No","Yes","Yes","Yes","Stata","Stata","Stata","Yes",NA,NA,NA,"No","si75","Data is publicly available through the article, but as the data was experimentally gathered by the authors, it is unable anywhere else.",2,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2011-0167_data.zip",NA,1
"16","6/22/2014 19:58:34","10.1257/app.5.2.179","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2011-0198_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2011-0198_data.zip",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2011-0198_data.zip","Yes","lists all included files, documents the purpose of each file","Yes","No","No","Yes","Yes","No","Stata","Stata","Stata","Yes","Yes","No","No","No","sl2296","Provides program to create data set used for final analysis from original data, no additional intermediate data set involved in the process according to instruction.",2,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2011-0198_data.zip",NA,1
"17","6/22/2014 20:03:20","10.1257/app.5.2.200","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2011-0238_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2011-0238_data.zip",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2011-0238_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","Yes","No","No","No","Yes","No","Stata","Stata","Stata","Yes","Yes","No","No","No","sl2296",NA,2,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2011-0238_data.zip",NA,1
"18","6/19/2014 1:56:21","10.1257/app.5.3.63","Yes","No","Yes","http://www.aeaweb.org/aej/app/data/2011-0103_data.zip",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2011-0103_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","Yes","No","No","Yes","Yes","Yes","CSV","Stata","Stata","Yes","Yes","No","No","No","si75","This article uses vbs (VBScript) programs to generate the data sets from Google searches to run the analyses. However, their programs are no longer compatible with the new format of Google searches, so replicating the generation of the data sets is impossible. It is possible to replicate the analysis from the data sets that they provide, however.",3,NA,"CSV","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2011-0103_data.zip",NA,1
"19","6/22/2014 0:32:34","10.1257/app.5.3.170","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2012-0379_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2012-0379_app.pdf",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0379_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","Yes","Yes","No","Yes","Yes","No","Unknown","Stata","Stata","Yes",NA,NA,NA,"No","si75","One dataset is publicly available (Federal Election Commission records) but the other is not (ExecuComp database - commercial database).",3,NA,"Unknown","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0379_data.zip",NA,1
"20","6/6/2014 16:44:00","10.1257/app.1.2.128","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2008-0014_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2008-0014_app.zip",NA,"Yes",NA,NA,NA,NA,"Yes","provides instructions for replication","Yes","No","DK","Yes","Yes","Yes","Unknown","Stata","Stata","Yes",NA,NA,NA,"No","si75",NA,4,NA,"Unknown","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2008-0014_data.zip",NA,1
"21","6/11/2014 3:03:22","10.1257/app.1.2.1","Yes","No","Yes","http://www.aeaweb.org/aej/app/data/2008-0039_data.zip",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,"Yes","documents the purpose of each file","Yes","Yes","No","Yes","Yes","Yes","Stata","Stata","Stata","Yes","Yes","No","No","No","si75","One of the datasets must be purchased",4,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2008-0039_data.zip",NA,1
"22","6/18/2014 15:09:46","10.1257/app.5.2.1","Yes","Yes","No",NA,NA,NA,NA,"No","http://www.aeaweb.org/aej/app/data/2012-0222_data.zip",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0222_data.zip","Yes","documents the format of each file",NA,NA,NA,NA,NA,NA,NA,NA,"Stata","Yes","Yes","No","No","No","sl2296","Data collection still on-going, need to contact authors for permission to use some portions of the data.",4,NA,NA,NA,NA,NA,NA,NA,1
"23","6/21/2014 5:40:28","10.1257/app.5.3.136","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2012-0348_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2012-0348_app.pdf",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0348_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","No","Yes","No","Yes","No","No","Unknown","Unknown","Stata","Yes","Yes","Yes","Yes","Yes","si75",NA,4,NA,"Unknown","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0348_data.zip",NA,1
"24","6/9/2014 19:33:55","10.1257/app.1.1.22","Yes","No","No",NA,NA,NA,NA,"Yes",NA,NA,"Yes",NA,NA,NA,NA,"Yes",NA,"No","Yes","No","Yes","Yes","No","Stata","Stata","Stata","No","Yes","No","No","No","si75","Link to programs: http://www.aeaweb.org/aej-applied/data/2007-0043_data.zip",5,NA,"Stata","Input Data","Analysis Data",NA,NA,NA,1
"25","6/22/2014 0:43:31","10.1257/app.5.3.211","Yes","No","Yes","http://www.aeaweb.org/aej/app/data/2012-0400_data.zip",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0400_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","No","No","Yes","Yes","No","No","Unknown","Unknown","Stata","Yes",NA,NA,NA,"No","si75","Dataset is unable to the public due to privacy issues (the study data is test scores of minors), making it impossible to replicate.",5,NA,"Unknown","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0400_data.zip",NA,1
"26","6/22/2014 1:20:19","10.1257/app.5.4.256","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2012-0081_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2012-0081_app.pdf",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0081_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","No","No","Yes","Yes","No","No","Unknown","Unknown","Stata","Yes",NA,NA,NA,"No","si75","The data is only available to the authors, although they note that interested researchers should contact the authors for more information regarding access to the data.",5,NA,"Unknown","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0081_data.zip",NA,1
"27","6/2/2014 10:54:45","10.1257/app.1.2.128","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2008-0014_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2008-0014_app.zip",NA,"No","No",NA,NA,NA,"No",NA,"Yes","No","No","No","No","No","Unclear","Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2008-0014_data.zip",NA,1
"28","6/5/2014 22:48:47","10.1257/app.1.2.128","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2008-0014_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2008-0014",NA,"No","No",NA,NA,NA,"Yes","provides instructions for replication","Yes","No","DK","Yes","Yes","Yes","Stata","Stata","Stata","Yes","No",NA,NA,"No","sp836",NA,NA,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2008-0014_data.zip",NA,1
"29","6/9/2014 18:58:08","10.1257/app.1.1.1","Yes","No","No",NA,NA,NA,NA,"No",NA,NA,"No","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","No","No","No","No","No","sp836","Includes nothing except for the article (no direct reference to data sets or programs included)",NA,NA,NA,NA,NA,NA,NA,NA,1
"30","6/9/2014 19:00:55","10.1257/app.1.1.1","Yes","No","No",NA,NA,NA,NA,"No",NA,NA,"No","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not included","No","No","No","No","No","bag88","The article has empirical data, uses that data in calculations, and also provides an analysis. It does not however provide direct citations to where the data is from, or programs or functions they used to determine the statistics and other numbers presented in the report. It does not have an online appendix or a data doi so it will be hard to replicate the data only because it is not cited so we would not know where the initial data is coming from.",NA,NA,NA,NA,NA,NA,NA,NA,1
"31","6/9/2014 19:34:07","10.1257/app.1.1.22","Yes","No","Yes","http://www.aeaweb.org/aej-applied/data/2007-0043_data.zip",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,"Yes",NA,"No","Yes","No","Yes","Yes","No","Stata","Stata","Stata","No","Yes","No","No","No","sp836","Unable to enter program URL in the form (http://www.aeaweb.org/aej-applied/data/2007-0043_data.zip)",NA,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej-applied/data/2007-0043_data.zip",NA,1
"32","6/9/2014 19:35:16","10.1257/app.1.1.22","Yes","No","Yes","http://www.aeaweb.org/aej-applied/data/2007-0043_data.zip",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,"Yes","provides instructions for replication","No","Yes","No","Yes","Yes","Yes","Stata","Stata","Stata","No","Yes",NA,NA,NA,"bag88","Don't have access to stata so the last page I was unclear as to much of the answers about the actual program. The data had a URL that for whatever reason wasn;t being accepted into the form: http://www.aeaweb.org/aej-applied/data/2007-0043_data.zip.",NA,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej-applied/data/2007-0043_data.zip",NA,1
"33","6/10/2014 19:56:15","10.1257/app.1.2.128","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2008-0014_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2008-0014_app.zip",NA,"Yes",NA,NA,NA,NA,"Yes","documents the purpose of each file","Yes","No","No","Yes","Yes","Yes","Stata","Stata","Stata","Yes","Yes","Yes","No","No","sl2296",NA,4,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2008-0014_data.zip",NA,1
"34","6/10/2014 20:27:30","10.1257/app.1.4.69","Yes","Yes","No",NA,NA,NA,NA,"No","http://www.aeaweb.org/aej/app/app/2008-0169_app.pdf",NA,"No","No",NA,NA,NA,"Yes","documents the format of each file",NA,NA,NA,NA,NA,NA,NA,NA,"Stata","Yes","Yes","Yes","Yes","No","sl2296","-The URL for the program file is http://www.aeaweb.org/aej/app/data/2008-0169_data.zip. No downloadable data set, no mention of its availability to the public, but does mention where it comes from.",5,NA,NA,NA,NA,NA,NA,NA,1
"35","6/11/2014 19:18:03","10.1257/app.1.2.128","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2008-0014_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2008-0014_app.zip",NA,"Yes",NA,NA,NA,NA,"Yes","provides instructions for replication","Yes","No","No","No","Yes","No","unclear","Stata","Stata","Yes","No","Yes","No","No","fs379","The program is a Stata 10 .do file. It appears to be well documented, but intermediate steps are skipped (and this is clearly stated in the header). Hence the question about Program Documentation might require some answer capturing an intermediate degree of precision.
Both Data Formats and DocReadme Present should allow for multiple answers.",NA,NA,"unclear","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2008-0014_data.zip",NA,1
"36","6/15/2014 16:08:11","10.1257/app.1.1.251","Yes","No","No",NA,NA,NA,NA,"No",NA,NA,"Yes",NA,NA,NA,NA,"Yes","provides instructions for replication",NA,NA,NA,NA,NA,NA,NA,NA,"SAS","Yes","Yes","No","No","No","sl2296","There is no online appendix nor downloadable data set, but the readme file contained in the data folder (http://www.aeaweb.org/aej/app/data/2007-0088_data.zip, couldn't enter in the data url) give instructions on how to retrieve the data in details. Program file also included with the data file.",4,NA,NA,NA,NA,NA,NA,NA,1
"37","6/15/2014 16:35:59","10.1257/app.1.2.53","Yes","Yes","Yes","http://www.aeaweb.org/aej-applied/data/2007-0004_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2007-0004_app.zip",NA,"Yes",NA,NA,NA,NA,"Yes","lists all included files","DK","DK","DK","No","Yes","No","unclear","unclear","Excel","No","No","No","No","No","sl2296","The paper mostly observes and analyzes past data and does not mention the program used, but the data folder includes an excel file with formulas and intermediate data",5,NA,"unclear","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej-applied/data/2007-0004_data.zip",NA,1
"38","6/16/2014 12:29:33","10.1257/app.1.2.35","Yes","No","Yes","http://www.aeaweb.org/aej-applied/data/2007-0007_data.zip",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,"Yes","documents the purpose of each file","Yes","No","No","Yes","Yes","No","Stata","Stata","Stata","Yes","No","No","Yes","No","sp836","Data url includes all of the programs and surveys used, but unclear about how surveys were used in analysis",NA,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej-applied/data/2007-0007_data.zip",NA,1
"39","6/16/2014 13:03:06","10.1257/app.1.2.53","Yes","Yes","Yes","http://www.aeaweb.org/aej-applied/data/2007-0004_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2007-0004_app.zip",NA,"No","No",NA,NA,NA,"Yes","lists all included files","DK","DK","DK","No","Yes","No",NA,"Excel",NA,NA,NA,NA,NA,NA,"sp836","No programs included. Appendix/Data files do not contain original data, only data summaries put into tables in excel.",NA,NA,NA,NA,"Analysis Data",NA,"http://www.aeaweb.org/aej-applied/data/2007-0004_data.zip",NA,1
